CONCELHO,FREGUESIA,Delivery price
Alenquer,Carnota,"11,25"
Alenquer,Meca,"11,4"
Alenquer,Olhalvo,"11,4"
Alenquer,Ota,"11,4"
Alenquer,Ventosa,"11,4"
Alenquer,União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,"11,25"
Alenquer,União das freguesias de Alenquer (Santo Estêvão e Triana),"11,4"
Alenquer,União das freguesias de Carregado e Cadafais,"11,4"
Alenquer,União das freguesias de Ribafria e Pereiro de Palhacana,"11,4"
Amadora,Alfragide,"7,5"
Amadora,Águas Livres,"7,5"
Amadora,Encosta do Sol,"7,5"
Amadora,Falagueira-Venda Nova,"7,5"
Amadora,Mina de Água,"7,5"
Amadora,Venteira,"7,5"
Arruda dos Vinhos,Arranhó,"8,75"
Arruda dos Vinhos,Arruda dos Vinhos,"8,75"
Arruda dos Vinhos,Cardosas,"8,75"
Arruda dos Vinhos,Santiago dos Velhos,"8,75"
Azambuja,Aveiras de Baixo,"12,4"
Azambuja,Aveiras de Cima,"12,4"
Azambuja,Azambuja,"11,4"
Azambuja,Vale do Paraíso,"11,4"
Azambuja,Vila Nova da Rainha,"8,9"
Cascais,Alcabideche,"12,1"
Cascais,São Domingos de Rana,"10,95"
Cascais,União das freguesias de Carcavelos e Parede,"10,95"
Cascais,União das freguesias de Cascais e Estoril,"10,95"
Lisboa,Ajuda,"7,5"
Lisboa,Alcântara,5
Lisboa,Beato,5
Lisboa,Benfica,5
Lisboa,Campolide,5
Lisboa,Carnide,5
Lisboa,Lumiar,5
Lisboa,Marvila,5
Lisboa,Olivais,5
Lisboa,São Domingos de Benfica,5
Lisboa,Alvalade,5
Lisboa,Areeiro,5
Lisboa,Arroios,5
Lisboa,Avenidas Novas,5
Lisboa,Belém,"7,5"
Lisboa,Campo de Ourique,5
Lisboa,Estrela,5
Lisboa,Misericórdia,5
Lisboa,Parque das Nações,5
Lisboa,Penha de França,5
Lisboa,Santa Clara,5
Lisboa,Santa Maria Maior,5
Lisboa,Santo António,5
Lisboa,São Vicente,5
Loures,Bucelas,"5,35"
Loures,Fanhões,5
Loures,Loures,5
Loures,Lousa,"8,15"
Loures,União das freguesias de Moscavide e Portela,5
Loures,União das freguesias de Sacavém e Prior Velho,5
Loures,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",5
Loures,União das freguesias de Santo Antão e São Julião do Tojal,5
Loures,União das freguesias de Santo António dos Cavaleiros e Frielas,5
Loures,"União das freguesias de Camarate, Unhos e Apelação",5
Mafra,Mafra,"13,15"
Mafra,Milharado,"10,65"
Mafra,"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário","11,9"
Mafra,União das freguesias de Igreja Nova e Cheleiros,"13,15"
Mafra,União das freguesias de Malveira e São Miguel de Alcainça,"13,15"
Mafra,União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,"10,8"
Odivelas,Odivelas,5
Odivelas,União das freguesias de Pontinha e Famões,"7,5"
Odivelas,União das freguesias de Póvoa de Santo Adrião e Olival Basto,5
Odivelas,União das freguesias de Ramada e Caneças,5
Oeiras,Barcarena,"7,85"
Oeiras,Porto Salvo,"10,35"
Oeiras,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",10
Oeiras,União das freguesias de Carnaxide e Queijas,"7,5"
Oeiras,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias","10,35"
Sintra,Algueirão-Mem Martins,"11,75"
Sintra,Rio de Mouro,10
Sintra,Casal de Cambra,10
Sintra,União das freguesias de Agualva e Mira-Sintra,"10,3"
Sintra,"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar","11,75"
Sintra,União das freguesias do Cacém e São Marcos,"10,3"
Sintra,União das freguesias de Massamá e Monte Abraão,"7,5"
Sintra,União das freguesias de Queluz e Belas,"7,5"
Sintra,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)","11,75"
Sobral de Monte Agraço,Santo Quintino,"7,8"
Sobral de Monte Agraço,Sapataria,"11,55"
Sobral de Monte Agraço,Sobral de Monte Agraço,"11,25"
Torres Vedras,Freiria,"13,2"
Torres Vedras,Ponte do Rol,"13,2"
Torres Vedras,Turcifal,"13,2"
Torres Vedras,Ventosa,"13,2"
Torres Vedras,União das freguesias de Carvoeira e Carmões,"13,2"
Torres Vedras,União das freguesias de Dois Portos e Runa,"13,2"
Torres Vedras,União das freguesias de Maxial e Monte Redondo,"13,2"
Torres Vedras,"União das freguesias de Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães","13,2"
Vila Franca de Xira,Vialonga,5
Vila Franca de Xira,Vila Franca de Xira,"5,7"
Vila Franca de Xira,"União das freguesias de Alhandra, São João dos Montes e Calhandriz","5,7"
Vila Franca de Xira,União das freguesias de Alverca do Ribatejo e Sobralinho,"5,7"
Vila Franca de Xira,União das freguesias de Castanheira do Ribatejo e Cachoeiras,"8,65"
Vila Franca de Xira,União das freguesias de Póvoa de Santa Iria e Forte da Casa,5
